specialty_or_service,total_tasks,completed_tasks,median_wait_p50,wait_p80,wait_p90,mean_wait,median_service_duration,sla_breach_rate,sla_compliance_rate
Khám Nội tổng quát,10,0,12.9067200589,18.101565850420002,23.228374107939995,13.310741568360001,7.1269520487,0.0,1.0
Chẩn đoán hình ảnh - Siêu âm,6,0,10.944446311,18.8982731085,28.05296648585,15.184008370200003,10.6662752547,0.3333333333333333,0.6666666666666667
Chẩn đoán hình ảnh - X-quang,4,0,11.490874425400001,13.14056855736,13.28173596513,10.317977596275,12.61641384515,0.0,1.0
