scenario,median_wait,p80_wait,p90_wait,sla_breach_rate,average_journey_completion,throughput_per_hour,normal_p90_p50_spread,normal_wait_cv
FCFS,115.68719524907047,442.2491533748445,567.3034160250187,0.7975925925925925,226.80173256984338,10.147848551320477,453.21026277729453,0.9842772567729147
Priority Queue,119.07260879985118,446.73578902082164,570.780236886368,0.8027777777777777,229.52450931832587,10.110835304496693,456.8951650358558,0.9718495726165113
Queue Engine + Routing,101.4341257113176,446.73578902082164,570.780236886368,0.7788888888888889,225.09007980613222,10.110835304496693,472.3075703762255,1.0046223579052624
